"discovery_year","metabolites_count","accumulated_metabolites_count"
1974,2,2
1976,3175,3177
1977,6453,9630
1978,4583,14213
1979,5914,20127
1980,4914,25041
1981,5204,30245
1982,4809,35054
1983,5529,40583
1984,4830,45413
1985,5746,51159
1986,6304,57463
1987,7224,64687
1988,6506,71193
1989,7025,78218
1990,9607,87825
1991,10448,98273
1992,14832,113105
1993,14139,127244
1994,13749,140993
1995,15921,156914
1996,16600,173514
1997,14611,188125
1998,18344,206469
1999,16982,223451
2000,18760,242211
2001,18788,260999
2002,24062,285061
2003,24977,310038
2004,30829,340867
2005,30896,371763
2006,33804,405567
2007,51794,457361
2008,62154,519515
2009,64815,584330
2010,84688,669018
2011,69205,738223
2012,73820,812043
2013,88961,901004
2014,91842,992846
2015,100161,1093007
2016,110727,1203734
2017,130717,1334451
2018,119068,1453519
2019,117733,1571252
2020,176928,1748180
2021,135889,1884069
2022,240148,2124217
2023,79523,2203740
2024,65307,2269047
