"mass_range_start","bin_label","count"
50,"50 - 100",797
100,"100 - 150",7435
150,"150 - 200",33725
200,"200 - 250",115181
250,"250 - 300",275467
300,"300 - 350",455344
350,"350 - 400",498057
400,"400 - 450",470401
450,"450 - 500",369195
500,"500 - 550",230765
550,"550 - 600",136513
600,"600 - 650",76536
650,"650 - 700",42577
700,"700 - 750",28255
750,"750 - 800",19618
800,"800 - 850",14822
850,"850 - 900",11678
900,"900 - 950",8779
950,"950 - 1000",6920
1000,"1000 - 1050",5826
1050,"1050 - 1100",4669
1100,"1100 - 1150",3706
1150,"1150 - 1200",3287
1200,"1200 - 1250",2982
1250,"1250 - 1300",2358
1300,"1300 - 1350",2737
1350,"1350 - 1400",2103
1400,"1400 - 1450",1961
1450,"1450 - 1500",1755
